Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),EMS:Cooling Controlled Load [](TimeStep),EMS:Heating Controlled Load [](TimeStep),EMS:Cooling Schedule Temperature [](TimeStep),EMS:Heating Schedule Temperature [](TimeStep),EMS:Cooling Setpoint Temperature [](TimeStep),EMS:Heating Setpoint Temperature [](TimeStep),EMS:Cooling Current Temperature [](TimeStep),EMS:Heating Current Temperature [](TimeStep),EMS:Cooling Power State [](TimeStep),EMS:Heating Power State [](TimeStep),EMS:Heating Volume [](TimeStep),EMS:Cooling Volume [](TimeStep),EMS:Indoor Air Temperature [](TimeStep),EMS:Occupant Count [](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](TimeStep) 
 07/01  02:35:00,27.4,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.89500587886147,79.89500587886147,0.0,0.0,0.0,0.0,79.89500587886147,0.0,0.000007428593918892528,48733.14282666245,0.0 
 07/01  02:40:00,27.299999999999998,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.86838506247531,79.86838506247531,0.0,0.0,0.0,0.0,79.86838506247531,0.0,0.000007429828170480796,48731.158628889636,0.0 
 07/01  02:45:00,27.199999999999997,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.84127439596796,79.84127439596796,0.0,0.0,0.0,0.0,79.84127439596796,0.0,0.000007433413489774431,48729.17536715524,0.0 
 07/01  02:50:00,27.1,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.81367334479188,79.81367334479188,0.0,0.0,0.0,0.0,79.81367334479188,0.0,0.000007438974477294208,48727.190703195076,0.0 
 07/01  02:55:00,27.0,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.78560340211226,79.78560340211226,0.0,0.0,0.0,0.0,79.78560340211226,0.0,0.0000074462001629155908,48725.20474031215,0.0 
 07/01  03:00:00,26.9,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.75710673284712,79.75710673284712,0.0,0.0,0.0,0.0,79.75710673284712,0.0,0.000007454832063297174,48723.217302776175,0.0 
 07/01  03:05:00,26.791666666666666,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.72819417730935,79.72819417730935,0.0,0.0,0.0,0.0,79.72819417730935,0.0,0.000007464654713169234,49015.12100884833,0.0 
 07/01  03:10:00,26.683333333333335,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.69872902310239,79.69872902310239,0.0,0.0,0.0,0.0,79.69872902310239,0.0,0.000007475488087589154,49012.50985246667,0.0 
 07/01  03:15:00,26.574999999999997,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.66879351304951,79.66879351304951,0.0,0.0,0.0,0.0,79.66879351304951,0.0,0.000007487181487458766,49009.89587867296,0.0 
 07/01  03:20:00,26.46666666666667,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.63844958723858,79.63844958723858,0.0,0.0,0.0,0.0,79.63844958723858,0.0,0.000007499608570104513,49007.27924293908,0.0 
 07/01  03:25:00,26.358333333333336,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.607721549813,79.607721549813,0.0,0.0,0.0,0.0,79.607721549813,0.0,0.000007512663285097927,49004.66037017559,0.0 
 07/01  03:30:00,26.25,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.57663672856993,79.57663672856993,0.0,0.0,0.0,0.0,79.57663672856993,0.0,0.0000075262565323473759,49002.03924764548,0.0 
 07/01  03:35:00,26.141666666666667,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.54506949344565,79.54506949344565,0.0,0.0,0.0,0.0,79.54506949344565,0.0,0.000007540313401256547,48999.412574681446,0.0 
 07/01  03:40:00,26.03333333333333,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.51332648259012,79.51332648259012,0.0,0.0,0.0,0.0,79.51332648259012,0.0,0.00000755477088080831,48996.787037279995,0.0 
 07/01  03:45:00,25.925000000000006,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.48120821695948,79.48120821695948,0.0,0.0,0.0,0.0,79.48120821695948,0.0,0.000007569575953804442,48994.15740397198,0.0 
 07/01  03:50:00,25.81666666666667,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.4487491613117,79.4487491613117,0.0,0.0,0.0,0.0,79.4487491613117,0.0,0.000007560233917302261,48991.52530169766,0.0 
 07/01  03:55:00,25.708333333333337,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.41602879413324,79.41602879413324,0.0,0.0,0.0,0.0,79.41602879413324,0.0,0.000007525601037418677,48988.89205644501,0.0 
 07/01  04:00:00,25.6,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.38305618494349,79.38305618494349,0.0,0.0,0.0,0.0,79.38305618494349,0.0,0.0000074933809919273739,48986.257391327876,0.0 
 07/01  04:05:00,25.5,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.34985020280195,79.34985020280195,0.0,0.0,0.0,0.0,79.34985020280195,0.0,0.000007469364114041224,48965.3498610108,0.0 
 07/01  04:10:00,25.400000000000003,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.31673002376691,79.31673002376691,0.0,0.0,0.0,0.0,79.31673002376691,0.0,0.000007452033582777632,48962.90526838098,0.0 
 07/01  04:15:00,25.300000000000006,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.28361405788613,79.28361405788613,0.0,0.0,0.0,0.0,79.28361405788613,0.0,0.000007440191111582278,48960.461300347386,0.0 
 07/01  04:20:00,25.200000000000004,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.25045026828184,79.25045026828184,0.0,0.0,0.0,0.0,79.25045026828184,0.0,0.00000743287948139721,48958.01738179054,0.0 
 07/01  04:25:00,25.099999999999999,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.21718576286816,79.21718576286816,0.0,0.0,0.0,0.0,79.21718576286816,0.0,0.000007429326872828611,48955.57355037331,0.0 
 07/01  04:30:00,25.0,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.18381300378508,79.18381300378508,0.0,0.0,0.0,0.0,79.18381300378508,0.0,0.000007428906057084242,48953.1295289215,0.0 
 07/01  04:35:00,24.9,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.15033294534678,79.15033294534678,0.0,0.0,0.0,0.0,79.15033294534678,0.0,0.000007431103942092198,48950.68548359219,0.0 
 07/01  04:40:00,24.8,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.11673867627718,79.11673867627718,0.0,0.0,0.0,0.0,79.11673867627718,0.0,0.000007435498481270585,48948.24121742913,0.0 
 07/01  04:45:00,24.699999999999997,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.0830362624823,79.0830362624823,0.0,0.0,0.0,0.0,79.0830362624823,0.0,0.0000074417409135302,48945.79692666469,0.0 
 07/01  04:50:00,24.599999999999999,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.0492237445622,79.0492237445622,0.0,0.0,0.0,0.0,79.0492237445622,0.0,0.000007449541928562558,48943.352443207856,0.0 
 07/01  04:55:00,24.499999999999998,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,79.01530741225594,79.01530741225594,0.0,0.0,0.0,0.0,79.01530741225594,0.0,0.000007458660766862885,48940.90796624861,0.0 
 07/01  05:00:00,24.4,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,78.98128593781935,78.98128593781935,0.0,0.0,0.0,0.0,78.98128593781935,0.0,0.0000074688965450262298,48938.46334141142,0.0 
 07/01  05:05:00,24.30833333333333,0.0,0.0,80.6,60.8,80.36826461623545,61.031735383764559,78.94716692736275,78.94716692736275,0.0,0.0,0.0,0.0,78.94716692736275,0.0,30404.450925942518,79903.55088335023,0.0 
 07/01  05:10:00,24.216666666666666,11388.887342113803,0.0,80.6,60.8,80.36826461623545,61.031735383764559,77.96419181124412,77.96419181124412,1.0,0.0,672.0,26812.0,77.96419181124412,0.0,30259.626715738366,79727.40908180175,0.0 
 07/01  05:15:00,24.124999999999998,11302.742416669871,0.0,80.6,60.8,80.36826461623545,61.031735383764559,77.03050152450405,77.03050152450405,1.0,0.0,672.0,26812.0,77.03050152450405,0.0,30141.455732922972,79563.15496437357,0.0 
 07/01  05:20:00,24.033333333333336,11243.65692525016,0.0,80.6,60.8,80.36826461623545,61.031735383764559,76.44874613786783,76.44874613786783,1.0,0.0,672.0,26812.0,76.44874613786783,0.0,30022.53931628947,79424.07705160644,0.0 
 07/01  05:25:00,23.941666666666664,22368.39743435793,0.0,80.6,60.8,80.36826461623545,61.031735383764559,76.00961487301257,76.00961487301257,1.0,0.0,672.0,26812.0,76.00961487301257,0.0,29902.835334762665,70717.62260341036,0.0 
 07/01  05:30:00,23.85,22248.69345281735,0.0,80.6,60.8,80.36826461623545,61.031735383764559,75.7848165201953,75.7848165201953,1.0,0.0,672.0,26812.0,75.7848165201953,0.0,29782.358857882577,70589.33803547079,0.0 
 07/01  05:35:00,23.758333333333334,22128.216975923056,0.0,80.6,60.8,80.36826461623545,61.031735383764559,75.62392267914417,75.62392267914417,1.0,0.0,672.0,26812.0,75.62392267914417,0.0,29661.111344750523,70462.77314869137,0.0 
 07/01  05:40:00,23.666666666666669,22006.9694627764,0.0,80.6,60.8,80.36826461623545,61.031735383764559,75.49955588499543,75.49955588499543,1.0,0.0,672.0,26812.0,75.49955588499543,0.0,29539.093053021643,70336.88012776737,0.0 
 07/01  05:45:00,23.575000000000004,21884.951171038214,0.0,80.6,60.8,80.36826461623545,61.031735383764559,75.40017056536424,75.40017056536424,1.0,0.0,672.0,26812.0,75.40017056536424,0.0,29416.294110657436,70211.09380884719,0.0 
 07/01  05:50:00,23.483333333333336,21762.152228694384,0.0,80.6,60.8,80.36826461623545,61.031735383764559,75.31657929568367,75.31657929568367,1.0,0.0,672.0,26812.0,75.31657929568367,0.0,29292.72537367883,70085.06256974422,0.0 
